word,meaning
abadī,forever
abadī, endless
abadī, everlasting
abadī, eternally
abadī, perpetually
abadī, evermore
abadī, unceasingly
abdāl,Saint
abdāl, devotee
abdāl, religious person
abal,weak person
abal, have no strength
abrār,holy men
ablι,idiot
ablι, stupid
ablι, foolish
abalvōn,inception of disease
abalvōn, beginning
abalvōn, commencement
abalvōn, initiation
abalvōn, the beginning of something
abrī,a kind of colourful paper for wrapping which is used in binding books
abtar,spoiled
abtar, miserable
abtar, be thrown in disorder
abtar, ruined
abtar, destitute
acānak,chance
acānak, unknowing
acānak, sudden
acānak, hasty
acānak, unexpected
acānak, abrupt
abə̄sι,a name of a kind of flowering plant
abə̄sι, light red colour resembling to colour of a kind of flowering plant
acōv,the calf of a cow who has not given milk
abuz,not roasted
abuz, unprocessed as before a fire or an oven
abyās,practice
abyās, diligent practice
abyās, application
abyās, a habitual practice
ackan,tight long coat with full buttons in front
ackan, achkan
acʰōw,half-done
acʰōw, uncooked
acʰōw, partially cooked
acʰā,& adj. good
acʰā, excellent
acʰā, sound pleasing
acʰā, agreeable
acʰā, virtuous
acʰā, correct
acʰā, genuine
adā karun,be paid
adā karun, be done
adā karun, be performed
adā karun, be expressed
adā,elegance
adā, graceful
adā, manners
adā, coquetry
adā,payment
adā, execution
adā, performance
adā, accomplishment
adιbιsān,respectfully
adιbιsān, politely
adιbιsān, civilly
adιbιsān, considerately
acʰival,proper name of tourist place in Kashmir
adab,good manners
adab, courteousness
adab, politeness
adab, manners
adab, courtesy
adab, etiquette
adab, civility
adākār,actor
adālat,court of justice
adal,alteration
adal, exchange
adal, vice versa
absun,to twist thread
absun, cord
absun, or rope
adākə̄rī,acting
adalι badal,instead
adalι badal, as an alternative
adalι badal, as a substitute
adalι badal, in its place
adārι,institution
adārι, organization
adārι, department
adārι, administration
adārι, establishment
adι,then
adι, afterward
adι, it follows that
adι kar,at what time
adnā,base-born mean
adι kǝti,then at which place
adsā,good
adsā, yes
adsā, well
adsā, fine
adsā, alright
adι kus,then who
abas,vanity
abas, absurdity
abas, trifling
abad,eternity
abad, time without end
aḍ,half
aḍ, mid
aḍ, semi
aḍ, often signifying a portion
advapōr,on other side
advapōr, cross
advapōr, to one side
aḍcʰōv,uncooked
aḍvāns,advance
aḍι dod,half-burnt
aḍlʸok,defective
aḍlʸok, faulty
aḍlʸok, imperfect
aḍlʸok, inadequate
aḍlʸok, lacking
aḍlʸok, incomplete
aḍι brok,half-grinded
aḍι cʸōr,halfwit
aḍι cʸōr, stupid
aḍι cʸōr, lunatic
aḍι ōm,incomplete
aḍι ōm, half-done
aḍι ōm, half-prepared
aḍι ōm, half-baked
aḍι ōm, half-dressed
aḍι buz,half-roasted
aḍιkol,one who stammer
aḍιkol, to pause or falters in speaking
aḍι pop,unripe
aḍι pop, incomplete
aḍι pop, immature
aḍιmōr,grievous bodily harm by severe and repeated blows and kicks
aḍḍι,stand
aḍḍι, stop
aḍḍι, station
aḍḍι, (air)port
aḍamzaḍ,not used to best advantage
aḍamzaḍ, very little
aḍamzaḍ, used regarding the partial return of something deposited
afgə̄n,one from Afghanistan
aḍιwot,midway between two points
aḍιwot, half-way
aḍιpʰol,shrink
aḍιpʰol, decrease
aḍιpʰol, undeveloped
aḍιpʰol, do not come into flower
aḍιʦot,one who has died at very young age
afgān,name of a country
afgān, Afghanistan
aflātōn,plato- name of a very famous Greek philosopher
aflātōn, boaster
afsānι,short story
afsānι, fiction
afsānι, concocted story
afrā-tafrī,hurly-burly
afrā-tafrī, hurry-scurry
afrā-tafrī, confusion
afrā-tafrī, chaos
afsūs,alas
afsūs, sorrow
afsūs, woe
afsūs, distress
afsūs, trouble
afsūs, remorse
afsūs, repentance
afvah,rumor
afvah, doubt
afsar,officer
afsar, official
afsar, executive
afsar, administrator
afvā pʰə̄lāwun,to rumor
afvā pʰə̄lāwun, hearsay
afvā pʰə̄lāwun, gossip
afvā pʰə̄lāwun, town-talk
afvə̄y,person who is spreading rumor
afšāⁿ,tinsel
afšāⁿ, bedecking face
afšāⁿ, hair etc
afzal,excellent
afzal, supreme
afzal, outstanding
afzal, brilliant
agarci,even if
agarci, even though
agarci, although
agan bōṭ,motor-boat
agan bōṭ, speed-boat
agan bōṭ, power-boat
agar nι,if not
agar nι, unless
agar,although
agar, if
agar, in case
agə̄r,stranger
agə̄r, unfamiliar
agrāz,pl of garιz
agrāz, aim
agrāz, motive
agrāz, object
agrāz, purpose
agrāz, intension
agrāz, concern
agast,August
agar magar,hesitation
agar magar, excuses
agar magar, ifs and buts
agun,dense
agun, dark
agun, opaque
agur kul,a kind of plant
ah,(numerically; used as affix) about
ah, approximately
ah, roughly
ah, nearly
ah, not far off from
ah,sigh
ah, exhale noisily
agvā,abduction
agvā, kidnap
agvā, enticement
agə̄fil,inattentive
agə̄fil, unmindful
agə̄fil, negligent
agə̄fil, remiss
agur kaṭʰ,wood of ‘agur kul’
ahadnāmι,treaty
ahadnāmι, agreement
ahadnāmι, contract
ahadnāmι, settlement
ahamdī,name of a sect in Muslim community
ahad karun,swear
ahad karun, give your word
ahad karun, promise
ahansa,yes
ahansa, why not?
ahansa, okay
ahmak,thick skulled
ahmak, very foolish
ahmak, silly
ahmak, dunce
ajdād,one from whom a person is descended
ajdād, a forefather something regarded as a forerunner
ahtiyāt,vigilance
ahtiyāt, watchfulness
ahtiyāt, care
ahtiyāt, caution
ahtiyāt, attention
ahtiyāt, observation
ahtiyāt, alertness
ahtiyāt, awareness
ajant,a person that acts or has influence
ajal,death
ajal, decease
ajal, mortality
ajerʸ,benefit from good deeds
ajhal,most ignorant
ajhal, ignoramus
ajhal, dunce
ajnǝbī,stranger
ajnǝbī, foreigner
ajnǝbī, alien
ajīb,magnificent
ajīb, superb
ajīb, fantastic
ajīb, amazing
ajvǝnʸ,a spice of dill
ajvǝnʸ, dill seed
akaḍ,pride
akaḍ, stiffness
akaḍ, vanity
akaḍ, arrogance
akādmī,academy
akaḍī,proud
akaḍī, haughty
akaḍī, arrogant
akāl,timeless
akāl, eternal
akāl, God’s attribute
akbar,& n.m. greatest
akbar, supreme
akbar, appellation of a Great Mughal
akbar, a male Muslim name
akis,article very frequently employed as an indefinite article
aki laṭi,once
aki laṭi, one time
aki laṭi, just the once
aki pʰiri,once
aki pʰiri, one time
aki pʰiri, just the once
akιl,intelligence
akιl, wisdom
akιl, sense
akliwarǝy,foolish
akliwarǝy, stupid
akliwarǝy, irrational
aklirust,foolish
aklirust, stupid
aklirust, irrational
akliyet,least
akliyet, minimum
aklι-bakl,do something foolish
aklι-bakl, take a wrong decision
akor,un-boiled
akor, un-sterilized
akot,un-spun
aksǝryēt,majority
aksīr,remedy
aksīr, panacea
aksīr, alchemy
aktūbar,October
akun,exhausted
akun, tired
akun, weary
akιbī,alternately
akιbī, repeated after a day’s gap
akιbī, occurring in turns
akūⁿtaⁿt,accountant
aksar,mostly
aksar, frequently
